product_id,product_name,about_product,actual_price,Client A Catgories,Client B department,Client b Price Tier
B07WKB69RS,"Lifelong LLWH106 Flash 3 Litres Instant Water Heater for Home Use, 8 Bar Pressure,Power On/Off Indicator and Advanced Safety, (3000W, ISI Certified, 2 Years Warranty)","8 bar pressure rated: High pressure withstanding enabling to use in high-rise buildings, ISI Certified|The high density and thick PUF ensures retention of internal heat and temperature, resulting in better energy efficiency and reduced electricity bills|Thermoplastic outer body prevents rusting and corrosion|Neon indicator for power on and heating - gives status of water heating and readiness|Thermostat and cut-out conforms to international standards, ensuring enhanced safety","5,500",Home > Appliance > Heater,Home & Kitchen,Mid-Range
B086WMSCN3,"boAt Airdopes 171 in Ear Bluetooth True Wireless Earbuds with Upto 13 Hours Battery, IPX4, Bluetooth v5.0, Dual Tone Finish with Mic (Mysterious Blue)","Drivers- These true wireless earbuds have powerful 6mm drivers for an enthralling playback experience|Dual Tone Finish- Its dual tone colours offer an aesthetical edge and define a true listening time|Playback- Airdopes 171 offers a nonstop playback of up to 3H with each charge and an additional 10H playtime with the included charging case|Lightweight- These true wireless earbuds weigh about 4g per each so you may keep them plugged for longer duration with comfort|IP Rating- Airdopes 171 is IPX4 rated for providing resistance against sweat, splash and dust scares.|Bluetooth- boAt Airdopes 171 offers true wireless experience with latest Bluetooth v5.0.|Control- The TWS earbuds offer easy access multifunction button controls with stereo calling feature","5,999",Audio > Earbuds > wireless,Audia & Earphone,Mid-Range
B08HF4W2CT,"URBN 20000 mAh lithium_polymer Power Bank with 12 Watt Fast Charging, Camo","Proudly Made In India|It will charge a 3000mAh phone battery up to 4.7 times & It will charge a 4000mAh phone battery up to 3.5 times|Dual USB Output 2.4 Amp 5V Fast Charge|Compact body along with smooth touch finish gives the Power Bank its premium look, weighs only 354 grams|Micro USB Input. Takes up to 10-12 hours to charge the power bank","3,499",Electronics > Mobile Accessories > power Banks,Electronics,Mid-Range
B09ZHCJDP1,"Amazon Basics Wireless Mouse | 2.4 GHz Connection, 1600 DPI | Type - C Adapter | Upto 12 Months of Battery Life | Ambidextrous Design | Suitable for PC/Mac/Laptop","Reliable wireless connection up to 10m|Advanced optical tracking for ultra-precise movement on almost any surface with 3 switchable DPI modes 800/1200/1600 DPI|High-performance material and rubber wheel offers noise reduction with the same click feel as a standard mouse|Easy, plug-and-forget setup on Windows, Mac, Chrome OS and Linux, Comes with Type - C adapter for additional compatibility|Up to 12 months of battery life; Smart Sleep mode and on/off switch to conserve power, comes with 1 - AA battery|Ambidextrous design for greater comfort and precision than a touchpad|Small size makes it easy to carry anywhere","1,000",Computer > Accessories > Mouse,Electronics,Value
B08HD7JQHX,"HUMBLE Dynamic Lapel Collar Mic Voice Recording Filter Microphone for Singing Youtube SmartPhones, Black","SOUND RECORDING: With the Miracle Sound Microphone you can finally create the perfect videos and audio files on your smartphone and tablet. Pristine sound without .effort, no matter where you are.|SIMPLE OPERATION: Precise Design and Convenient Carrying.|EASY TO USE: Clip-on design, easy to clip it to your shirt, collar or placed in small pockets.|CONNECTOR: The 3.5mm type jack can be connected to PC / Laptop / wireless microphone transmitter with 3.5mm line-in / mic in.|USE FOR: Youtube, Interview, Recording, Podcasting, Conference call. Now you can instantly reproduce your voice, no additional plugs or batteries needed.",499,Mobile > Phones > Value Tier,Electronics,Value
B09CMP1SC8,"Ambrane 2 in 1 Type-C & Micro USB Cable with 60W / 3A Fast Charging, 480 mbps High Data, PD Technology & Quick Charge 3.0, Compatible with All Type-C & Micro USB Devices (ABDC-10, Black)","Stay ahead and never miss out with a 3A fast charging speed for your devices|It supports Quick Charge 2.0/ 3.0 technology to keep your devices boosted up|Its sturdy design and braided cord are tough enough to withstand 10000+ bends|Crafted for convenience, it allows you to charge and sync data with just one cable|It is widely compatible with all types of Micro USB & Type-C enabled devices",499,Mobile > Accessories > Cable,Electronics,Value
B00JBNZPFM,"Karcher WD3 EU Wet and Dry Vacuum Cleaner, 1000 Watts Powerful Suction, 17 L Capacity, Blower Function, Easy Filter Removal for Home and Garden Cleaning  (Yellow/Black)","Wet & Dry Vacuum Cleaner with patented filter removal technology, quick and easy removal of the filter by folding out the filter cartridge without any contact with dirt for wet and dry suction without changing the filter|This wet & dry vacuum cleaner offers the possibility of attaching different nozzles directly on the suction hose, easy vacuuming even in the tightest of spaces|Blower function: Where vacuuming is not possible, the practical blower function can be used|Powerful motor and extreme suction power: The wet and dry vacuum cleaner tackles even the most demanding outdoor cleaning tasks – whether it’s dry, wet, fine or coarse dirt. For perfect wet and dry vacuum cleaning results with convenience and flexibility|The capacity of the wet and dry vacuum cleaner is 17 litres|Warranty: 1 year from the date of invoice|Power: 1000 watts; Operating voltage: 240 volts","10,999",Home > Cleaning > Vacuum cleaner,Home & Kitchen,Premium
B00935MD1C,"Prestige PRWO 1.8-2 700-Watts Delight Electric Rice Cooker with 2 Aluminium Cooking Pans - 1.8 Liters, White","Content: Prestige Delight Electric Rice Cooker (1.8 Open Type with Aluminium Cooking Pan-2U)|Net Quantity: 1 Unit.Voltage : 230 V|Voltage: 230V; Wattage: 700W|Warranty: 1 Year|Troubleshooting guidelines: Do not wash the main body of cooker or immerse it in water. Its electrical insulation may get damaged. Read user manual carefully before use|Capacity - Cooks upto 1000g of raw rice|Great features - Stainless steel close fit lid with keep warm mode, 5 year warranty on the heating plate, detachable power cord","3,945",Home > Kitchen > cooker,Home & Kitchen,Mid-Range
B0814P4L98,"PrettyKrafts Laundry Basket for clothes with Lid & Handles, Toys Organiser, 75 Ltr Black & Grey","MULTIFUNCTIONAL LAUNDRY BAG - Useful for homes, apartments, bathroom, student's dormitory and hostels. Also help you to store other stuff, such as umbrellas, toys, shoes, etc, Make your room look clean, tidy and save space|Needs no assembly - Folds when not in use. Volume: 75 litre. Package contains 1 Laundry Basket.|FOLDABLE STORAGE CONTAINERS - This box is foldable for space-saving, easy to set up and convenient to carry. Can be folded when not in use|HIGH QUALITY - Made from non-woven fabric with strong durable stitching, which is environmentally friendly, durable, wear and tear-resistant fabric, anti-wrinkle-free, lightweight|Dimension: Length(15)inch x Width(14)inch x Height(21.5)inch",999,Home > Cleaning > Laundry,Home & Cleaning,Value
B096VF5YYF,"boAt Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery(Pitch Black)","Alexa- Alexa built-in Voice Assistant that sets reminders, alarms and answers questions from weather forecasts to live cricket scores at your command!|Screen Size- ;1.69"" big square colour LCD display with a round dial features complete capacitive touch experience to let you take control, effortlessly.|Watch Faces- Multiple watch faces with customizable options to match your OOTD, every day!|Brightness- The ambient light display allows automatic adjustment of brightness on the watch, suited to your environment|HR & SpO2- The watch comes with a stress monitor that reads your HR to indicate stress levels.It also monitors your heart rate and SpO2 (blood oxygen levels) to keep a tab on your overall health.|Sleep Monitor- Track all stages of sleep every night and keep a tab on your sleep health with the sleep monitoring feature on the watch.|Sports Friendly- Its 14 sports mode and 5 ATM dust, splash and sweat resistance makes it the perfect fitness companion to have.","7,990",Electronics > Wearables > Smartwatches,Apparel & Accessories,Mid-Range
B0819HZPXL,Zebronics Zeb-Transformer-M Optical USB Gaming Mouse with LED Effect(Black),"Gaming mouse: ZEB-Transformer-M premium gaming mouse is designed for gamers who want the perfect fusion of high DPI, precision gaming along with LED lights.|Breathing LED- Your gaming is going to get LIT as the gaming mouse comes with 7 colors breathing LED that will charm the gamer in you.|Ergonomic design:The ZEB-Transformer-M gaming mouse comes in an ergonomic design that provides comfort for long hours.|Works on most surfaces: The mouse is designed to work on all surfaces and comes with a plug and play installation where no additional softwares is required.|High Precision: The gaming mouse comes with six buttons with a high precision DPI gaming sensor with 3200 DPI.|Dedicated DPI Switch: The gaming mouse has a dedicated DPI switch that can toggle between 1000/1600/ 2400/ 3200 DPI.|Dedicated forward & backward buttons: The gaming mouse comes with dedicated forward and backward buttons making it convenient for gamers to toggle.",549,Computer > Accessories > Mouse,Electronics,Value
B09JS94MBV,"Motorola a10 Dual Sim keypad Mobile with 1750 mAh Battery, Expandable Storage Upto 32GB, Wireless FM with Recording - Dark Blue","Ensured Power packed performance with Mediatek processor expandable memory upto 32 GB|Dual Sim with big 1750mAh battery gives you twice the power of other phones|Get 2 Years replacement warranty on motorola a10 keypad mobile|Modern, sturdy and Stylish Looks which you would love to flaunt|Entertain yourself with wireless FM with recording feature|Experience loud and crystal clear sound|Easily increase text size as per your convenience","1,630",Mobile > Phones > Value Tier,Electronics,Value
B0B9XN9S3W,Acer 80 cm (32 inches) N Series HD Ready TV AR32NSV53HD (Black),"Resolution: HD Ready (1366 x 768) | Refresh Rate: 60Hz | 178 Degree wide viewing angle|Connectivity: 2 HDMI Ports to connect set top box, Blu Ray players, gaming console | 2 USB Ports to connect hard drives and other USB devices | 1 VGA Slot to connect your Laptop/PC | 1 Headphone Jack | 2 AV Input Slot | 1 RF Slot|Sound: 20 Watts Output|Display: High Definition | Dynamic Contast | Intelligent Signal Calibration | 16.7 Million Colours | Digital Noise Reduction|Warranty Information: 1 year comprehensive warranty provided by the manufacturer from date of purchase|Installation: Installation/Wall mounting/demo will be arranged by AHS Team. For any other information, please contact Amazon customer support|Easy Returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description","14,990",Electronics > Televisions > LED TVs,Electronics,Premium
B008LN8KDM,Philips GC1920/28 1440-Watt Non-Stick Soleplate Steam Iron,"Turn the temperature dial to the appropriate position clockwise from minimum to maximum temperature to set the temperature according fabric type;To Prevent Water Leakage, keep the iron horizontal when not in use, do not fill water completely, leave some gap and wait for some time for the iron to heat up before using the iron|Warranty: 2 years on product, ;Knob should always be at no steam position when product is not in use. Second and third setting is used only when soleplate is hot. Otherwise leakage will happen.|A fine spray evenly moistens the fabric, Indicator Light: Yes;Please wait for some time for the iron to heat up. Only then you can use the steam function effectively. If the iron is not heated enough and steam function is used, it will lead to water leakage|Color Name: Pink; Material Type: Plastic; Size Name: Free Size","2,095",Home > Appliances > Irons,Home & Kitchen,Mid-Range
B01M6453MB,"Prestige Delight PRWO Electric Rice Cooker (1 L, White)","230 Volts, 400 watts, 1 Year","3,045",Home > Kitchen > cooker,Home & Kitchen,Mid-Range
B09NNGHG22,Sansui 140cm (55 inches) 4K Ultra HD Certified Android LED TV with Dolby Audio & Dolby Vision JSW55ASUHD (Mystique Black),"Resolution: 4K Ultra HD (3840x2160) | Refresh Rate: 60 hertz | Wide Viewing Angle|Connectivity: 3 HDMI ports to connect multiple devices | 2 USB ports to connect hard drives and other USB devices | Bluetooth | Wi-Fi | RJ45 | Antenna|Sound: Dolby Audio | DTS | 20 Watts Audio Output|Smart TV Features: Android 10.0, Google Assistant, Alexa Enabled Support, Built-in Chromecast | Performance: CA53 Quad Core Processor | RAM 2GB, ROM 8GB | Supported Apps: Prime Video, Netflix, Disney + Hotstar, YouTube, Google Play|Display: 4K UHD Android TV | A+ Grade Panel | Wide Colour Gamut | HDR 10 | Crystal Clear Display | High Brightness | Bezel-less Design","56,790",Mobile > Phones > Premium Tier,Electronics,Premium
